hh515,hhcu5,hhexpfac,hhftw,hhhsc,hhincome,hhno,hhoad,hhparcel,hhptw,hhret,hhsize,hhtaz,hhuni,hhvehs,hhwkrs,hownrent,hrestype,samptype
0,0,281.17,2,0,85000,2605,0,1121446,0,0,2,2240,0,2,2,1,1,1
0,0,268.2,1,0,-1,2622,0,781797,0,1,2,2763,0,2,2,1,1,1
0,0,286.44,2,0,65000,2658,0,1181923,0,0,2,2099,0,2,2,1,1,1
0,0,109.09,1,0,45000,2673,0,357811,0,0,1,2,0,1,1,1,1,1
0,0,275.86,1,0,55000,2702,0,523717,1,0,2,1164,0,2,2,1,1,1
0,0,141.12,0,0,25000,2707,0,540920,0,1,1,678,0,1,1,1,3,1
0,0,515.48,1,0,65000,2709,0,825054,0,0,2,3258,1,2,2,1,1,1
0,0,389.75,0,0,-1,2736,0,447971,0,1,1,1516,0,1,1,1,1,1
1,1,137.3,1,0,55000,2753,1,547817,0,0,4,700,0,2,2,2,2,1
0,0,241.58,1,0,55000,2759,0,455238,0,0,2,1063,1,2,2,1,1,1
0,0,326.88,0,0,-1,2760,0,1059807,0,1,1,2637,0,1,1,1,3,1
0,0,121.73,0,0,45000,2773,0,1003823,0,1,1,2647,0,1,1,1,1,1
0,0,95.65,0,0,65000,2778,1,649959,0,0,1,3501,0,1,1,1,1,1
0,0,118.48,0,0,35000,2794,0,670981,1,0,1,3515,0,1,1,1,2,1
0,0,580.28,4,1,145000,2806,0,1065810,0,0,5,2383,0,5,5,1,1,1
0,0,52.14,0,0,-1,2828,0,659046,0,2,2,3493,0,2,2,1,1,1
0,0,68.41,0,0,45000,2829,1,651029,0,1,2,3700,0,2,2,1,1,1
0,0,90.66,0,0,45000,2839,1,592038,0,1,2,3479,0,0,2,1,1,1
0,0,280.59,0,0,35000,2844,0,468422,0,1,1,1867,0,1,1,1,1,1
2,0,413.06,1,1,-1,2859,1,1500003,0,0,5,3354,0,3,3,2,1,1
0,0,202.8,0,0,15000,2873,1,68883,0,0,1,771,0,1,1,2,1,1
0,0,291.91,2,0,175000,2891,1,184454,0,0,3,1560,0,2,3,1,1,1
0,0,205.45,1,0,-1,2896,0,422149,0,0,1,877,0,1,1,1,1,1
0,1,429.39,0,0,15000,2901,1,576728,1,0,3,3565,0,2,2,1,4,1
0,0,193.79,1,0,55000,2903,0,503160,0,1,2,1108,0,2,2,1,2,1
0,0,134.91,1,0,35000,2925,0,604794,0,0,1,3582,0,1,1,1,2,1
1,1,674.28,2,0,135000,2930,0,1084418,0,0,4,2234,0,2,2,1,1,1
0,0,121.67,1,0,135000,2933,1,563093,0,0,2,61,0,2,2,1,1,1
0,0,409.58,1,0,15000,2934,0,213581,0,0,1,391,0,0,1,2,3,1
2,0,590.19,2,0,115000,2935,0,808610,0,0,4,2700,0,2,2,1,1,1
0,0,295.64,1,0,65000,2936,1,1500003,0,0,2,3354,0,2,2,3,6,1
0,0,187.17,1,0,85000,2966,0,1008570,0,0,1,2330,0,2,1,1,1,1
0,0,879.9,2,0,85000,2979,0,1123029,0,0,2,2600,0,2,2,1,2,1
0,0,173.74,0,0,25000,2980,0,532662,1,0,1,271,0,1,1,1,1,1
0,0,180.29,1,0,45000,2983,0,1109421,0,0,1,2418,0,1,1,1,3,1
0,0,389.12,1,0,35000,2991,0,1064751,0,0,1,2636,0,1,1,1,3,1
0,0,344.0,2,0,55000,3019,0,825851,0,0,2,3079,0,2,2,1,1,1
0,0,275.74,0,0,115000,3035,1,810687,0,0,1,3043,0,1,1,1,1,1
0,0,161.85,1,0,95000,3042,1,513350,0,1,3,1902,0,3,3,1,1,1
1,0,254.82,1,0,75000,3043,0,424289,1,0,3,1063,0,3,2,1,1,1
0,0,216.27,0,0,45000,3070,0,306894,0,1,1,1692,0,1,1,1,1,1
0,0,170.63,0,0,15000,3090,0,580783,0,1,1,3645,0,1,1,2,1,1
1,0,114.65,1,0,65000,3091,0,618573,0,0,2,3514,0,1,1,1,1,1
0,0,97.49,0,0,-1,3165,0,353946,0,2,2,65,0,2,2,1,1,1
0,0,345.01,0,0,25000,3195,0,496981,0,1,1,1593,0,1,1,1,1,1
0,0,146.34,2,0,55000,3203,0,494123,0,0,2,852,0,3,2,1,1,1
1,1,418.39,2,0,115000,3212,0,356249,0,0,4,2002,0,2,2,1,1,1
0,0,136.68,0,0,95000,3265,0,1102252,1,1,2,2151,0,2,2,1,1,1
0,1,392.57,1,0,85000,3271,1,755376,0,0,3,3159,0,2,2,1,1,1
0,0,467.7,2,1,95000,3300,0,749092,0,0,3,3094,0,2,3,1,4,1
0,0,172.35,1,0,45000,3335,1,1130846,0,0,2,2635,0,2,2,1,1,1
0,0,98.36,1,0,105000,3354,0,559352,0,0,1,264,0,1,1,1,1,1
0,0,291.08,1,0,55000,3364,0,905759,0,1,2,3422,0,3,2,1,1,1
0,0,170.63,0,0,15000,3367,0,603784,0,1,1,3573,0,1,1,2,3,1
0,0,204.03,0,0,-1,3370,0,702229,0,2,2,2794,0,3,2,1,3,1
0,0,305.31,1,0,105000,3379,0,1058119,1,0,2,2473,0,2,2,1,1,1
0,0,62.73,2,0,95000,3380,0,649984,0,0,2,3654,0,3,2,1,1,1
0,0,262.97,0,0,45000,3382,0,101787,1,0,1,2010,0,1,1,1,1,1
0,0,151.89,2,0,175000,3399,0,104160,0,0,2,20,0,6,2,1,1,1
0,0,87.54,0,0,35000,3431,0,593007,0,1,1,3492,0,1,1,1,4,1
1,1,114.56,2,0,75000,3440,0,346108,0,0,4,148,0,2,2,1,1,1
0,0,95.21,1,0,55000,3446,1,505985,0,0,2,58,0,2,2,1,1,1
0,0,165.27,0,0,55000,3459,0,498706,0,2,2,975,0,3,2,1,1,1
0,0,141.12,0,0,-1,3467,0,559334,0,1,1,264,0,1,1,1,2,1
3,1,517.99,1,0,65000,3490,1,976835,0,0,6,2665,0,3,2,1,1,1
0,0,248.48,0,0,85000,3491,0,497880,1,1,2,1001,0,2,2,1,1,1
0,0,552.34,1,0,25000,3496,0,436606,0,1,2,1355,0,1,2,1,1,1
0,0,1004.13,1,0,15000,3505,0,453743,0,0,1,161,0,1,1,2,3,1
0,0,248.38,1,0,65000,3510,0,32561,0,2,3,1319,0,1,3,1,1,1
0,0,68.41,0,0,45000,3540,0,588967,0,2,2,3687,0,2,2,1,1,1
0,0,237.22,2,0,75000,3545,0,478970,0,0,2,938,0,3,2,1,3,1
0,0,295.64,0,0,65000,3553,1,680581,1,0,2,2678,0,2,2,1,1,1
0,0,234.77,1,0,65000,3554,0,398434,1,0,2,1847,0,3,2,1,1,1
0,0,268.2,1,0,115000,3555,0,727187,0,1,2,3463,0,2,2,1,1,1
4,0,255.52,1,0,95000,3556,1,453337,0,0,6,1836,0,3,2,1,1,1
0,0,253.65,1,0,55000,3557,0,804192,0,1,2,3384,0,2,2,1,1,1
0,0,340.02,2,0,175000,3558,0,1184558,0,0,2,2106,0,3,2,1,1,1
0,0,168.48,0,0,95000,3565,1,83616,0,1,2,1691,0,2,2,1,1,1
2,0,140.52,1,0,105000,3573,0,552711,1,0,4,58,0,2,2,1,1,1
0,0,201.76,2,0,-1,3577,1,476852,0,0,3,1467,0,3,3,1,1,1
0,0,113.73,2,0,65000,3588,0,246728,0,0,2,94,0,2,2,1,1,1
1,0,291.7,2,0,95000,3591,0,1024447,0,0,3,2326,0,2,2,1,1,1
0,0,368.56,2,1,65000,3600,0,479159,0,0,3,1161,0,5,3,1,1,1
2,0,536.17,1,0,35000,3601,0,1171357,0,0,3,2212,0,2,1,2,1,1
0,0,363.73,2,0,175000,3605,0,875521,0,0,2,3427,0,2,2,1,1,1
2,2,517.62,1,0,65000,3606,1,786180,0,0,6,3075,0,2,2,1,1,1
0,0,159.37,0,0,55000,3610,1,560134,0,1,2,1506,0,2,2,1,3,1
0,0,200.73,1,0,45000,3620,0,1176012,0,0,1,2121,0,2,1,1,1,1
0,0,34.35,0,0,-1,3634,0,647269,0,1,2,3565,1,3,2,1,1,1
0,0,383.18,2,0,175000,3637,0,389902,0,0,2,1459,0,2,2,1,1,1
2,0,137.7,1,0,115000,3672,1,84349,0,0,4,621,0,2,2,1,1,1
0,0,92.83,0,0,55000,3712,0,86205,0,1,1,1494,0,2,1,1,1,1
0,0,284.58,0,0,45000,3714,1,683222,0,1,2,2683,0,2,2,1,1,1
0,0,344.62,0,0,15000,3727,0,565317,0,1,1,608,0,0,1,2,3,1
0,0,225.37,2,0,95000,3732,0,1096648,0,0,2,2429,0,3,2,1,1,1
0,0,607.68,2,0,125000,3747,0,31067,0,0,2,311,0,1,2,1,1,1
0,0,353.5,0,0,25000,3751,1,191032,0,0,1,1997,0,2,1,1,4,1
0,0,369.2,1,0,35000,3758,0,747531,0,1,2,3278,0,1,2,1,4,1
0,0,190.5,1,0,35000,3765,0,209741,0,1,2,243,0,2,2,2,3,1
0,0,153.75,0,1,25000,3769,1,601826,0,0,2,3605,0,1,2,1,1,1
0,0,330.42,2,0,65000,3783,0,869838,0,0,2,3094,0,2,2,1,1,1
0,0,879.9,1,0,85000,3785,0,1119262,1,0,2,2388,0,2,2,1,1,1
2,0,295.6,1,0,95000,3793,1,181360,0,0,4,1431,0,3,2,1,1,1
0,0,136.34,1,0,65000,3794,1,114097,0,0,2,82,0,3,2,1,1,1
0,1,137.98,1,0,175000,3812,1,59534,0,0,3,698,0,2,2,1,1,1
0,0,217.93,2,0,-1,3815,1,128178,0,0,3,1788,0,4,3,1,1,1
2,0,264.77,1,0,75000,3817,1,98026,0,0,4,1378,0,3,2,1,1,1
1,0,436.58,1,0,65000,3820,0,377883,1,0,3,1378,0,1,2,1,1,1
3,0,399.45,1,0,55000,3821,1,763939,0,0,5,2846,0,1,2,1,1,1
0,0,186.44,1,0,-1,3835,0,1072284,1,0,2,2500,0,3,2,1,1,1
0,0,98.36,1,0,105000,3872,0,40978,0,0,1,452,0,1,1,2,3,1
2,0,416.78,1,1,55000,3880,1,1071602,0,0,5,2612,0,3,3,1,1,1
0,0,277.69,2,1,65000,3899,0,443174,0,0,3,1871,0,2,3,1,1,1
0,0,256.11,1,0,35000,3901,0,421280,0,0,1,428,0,0,1,2,3,1
2,0,417.42,2,1,55000,3913,0,763881,0,0,5,2850,0,3,3,1,1,1
0,0,234.98,1,0,25000,3914,0,577934,0,0,1,3625,0,1,1,2,3,1
0,0,117.54,2,0,75000,3932,0,291641,0,0,3,155,1,2,3,1,1,1
0,0,377.16,1,1,175000,3952,1,313316,0,0,3,2030,0,3,3,1,1,1
1,2,432.34,2,0,75000,3957,1,942115,0,0,6,2978,0,3,3,1,1,1
0,0,191.74,0,0,85000,3984,1,357237,0,0,1,1085,0,2,1,1,1,1
0,0,175.99,1,0,55000,4007,0,555879,0,1,2,1169,0,6,2,1,1,1
0,0,94.76,1,0,55000,4008,0,349696,0,0,1,343,0,1,1,2,3,1
0,0,77.48,1,0,75000,4015,0,336729,0,0,1,333,0,1,1,1,2,1
0,0,383.18,2,0,145000,4017,0,46986,0,0,2,1676,0,2,2,1,1,1
0,0,421.49,1,0,35000,4030,0,117247,0,0,1,1468,0,1,1,1,3,1
0,0,113.07,0,0,55000,4070,0,1039553,1,1,2,2508,0,2,2,1,1,1
0,0,2223.05,0,0,15000,4090,1,554,1,0,2,1199,0,0,2,2,3,1
0,0,93.33,1,0,65000,4095,0,176895,0,0,1,749,0,1,1,1,1,1
2,0,427.68,1,0,125000,4101,1,156119,0,0,4,1207,0,2,2,1,1,1
0,0,347.98,2,0,135000,4106,0,551439,0,0,2,1435,0,3,2,1,1,1
2,0,322.58,2,0,95000,4110,0,69709,0,0,4,1096,0,2,2,1,1,1
0,0,176.34,1,0,55000,4125,1,1050836,0,0,2,2115,0,3,2,2,1,1
0,0,121.67,1,0,145000,4135,1,178057,0,0,2,387,0,2,2,1,1,1
0,0,231.93,1,0,45000,4136,0,1028193,0,0,1,2259,0,1,1,2,1,1
0,0,208.86,1,0,115000,4151,0,921604,0,0,1,3190,0,2,1,1,1,1
0,0,88.58,1,0,-1,4172,0,596857,0,0,1,3480,0,2,1,1,1,1
0,0,434.92,0,0,25000,4186,0,915123,0,2,2,3290,0,1,2,1,1,1
0,0,396.29,1,0,45000,4188,1,835520,0,0,2,3453,0,5,2,1,1,1
1,0,267.85,3,0,75000,4229,1,666855,0,0,5,3521,0,5,4,1,1,1
0,0,242.44,1,0,55000,4241,0,832572,0,0,1,3090,0,1,1,1,6,1
0,0,87.54,0,0,35000,4257,0,574595,0,1,1,3667,0,1,1,1,1,1
0,0,253.22,0,0,35000,4259,0,969605,0,1,1,2101,0,4,1,1,1,1
0,0,157.71,1,0,75000,4291,0,1081815,0,0,1,2470,0,1,1,1,1,1
0,0,478.14,1,0,65000,4298,0,168459,0,0,1,1334,0,1,1,2,3,1
0,0,199.48,0,0,-1,4308,0,766953,0,2,2,2811,0,2,2,1,1,1
0,0,134.91,1,0,35000,4334,0,639751,0,0,1,3667,0,1,1,1,1,1
0,0,194.3,0,0,15000,4361,1,671100,0,0,1,3628,0,1,1,2,3,1
0,0,859.01,1,0,35000,4363,0,545013,0,0,1,1058,0,1,1,1,2,1
0,0,235.72,0,0,115000,4364,0,120534,1,1,2,1640,0,2,2,1,1,1
0,0,201.51,1,0,35000,4368,1,439383,0,0,2,586,0,1,2,2,3,1
0,0,95.37,1,0,115000,4371,0,584353,1,0,2,3519,0,5,2,1,1,1
0,0,95.37,2,0,-1,4413,0,616325,0,0,2,3505,0,3,2,1,1,1
0,0,69.0,0,0,35000,4420,1,616646,0,1,2,3505,0,3,2,1,1,1
0,0,307.94,0,0,45000,4435,0,517648,0,2,2,1111,0,2,2,1,1,1
0,0,283.05,0,0,25000,4437,1,1056029,0,1,2,2443,0,2,2,1,1,1
0,0,732.74,1,1,25000,4457,0,719567,1,0,3,3248,0,2,3,1,1,1
0,2,488.79,2,0,95000,4464,0,973230,1,0,5,2345,0,4,3,1,1,1
2,0,258.08,0,0,55000,4466,0,649945,0,2,4,3501,0,2,2,2,1,1
0,0,302.72,2,1,175000,4474,0,112799,0,0,3,1304,0,3,3,1,1,1
0,0,417.43,0,0,35000,4492,0,1061552,0,2,2,2534,0,1,2,1,1,1
0,2,253.57,1,0,25000,4496,1,466389,0,0,4,816,0,1,2,2,3,1
0,0,288.48,0,0,-1,4508,0,902182,0,2,2,2791,0,2,2,1,1,1
0,0,247.93,2,0,85000,4511,0,852278,0,0,2,3318,0,2,2,1,1,1
0,0,216.26,1,0,-1,4520,0,1103312,0,0,1,2090,0,1,1,1,1,1
0,0,42.24,0,0,95000,4526,2,671151,0,0,2,3690,0,2,2,1,1,1
0,0,91.79,0,0,45000,4546,0,213243,0,1,1,352,0,1,1,1,1,1
1,0,384.92,2,1,145000,4550,0,117948,0,0,4,1776,0,3,3,1,1,1
0,0,98.36,1,0,125000,4552,0,462714,0,0,1,454,0,1,1,1,3,1
0,1,303.69,0,0,25000,4557,0,575271,1,0,2,3571,0,1,1,2,3,1
2,0,528.07,1,0,105000,4570,1,907530,0,0,4,3297,0,2,2,1,1,1
0,0,593.53,0,0,15000,4578,0,429046,1,0,1,1168,0,1,1,1,1,1
0,0,234.61,1,0,65000,4585,0,108940,0,0,1,1968,0,1,1,1,3,1
0,0,955.46,2,0,105000,4616,0,1148963,0,0,2,2474,0,2,2,2,3,1
0,0,399.54,0,0,35000,4625,0,438251,0,2,2,1370,0,2,2,1,1,1
0,0,112.35,1,0,135000,4627,0,990766,0,0,1,2621,0,5,1,1,1,1
0,0,81.56,0,0,65000,4629,2,655791,0,0,2,3475,0,3,2,1,1,1
1,1,674.28,1,0,125000,4634,0,981471,1,0,4,2586,0,2,2,1,1,1
1,0,230.93,1,0,45000,4636,0,1104250,0,0,2,2627,0,1,1,1,2,1
0,1,787.28,1,0,35000,4638,1,1148752,0,0,3,2428,0,1,2,2,3,1
0,0,330.96,2,0,65000,4645,0,1070209,0,0,2,2161,0,1,2,1,1,1
1,0,325.17,2,0,75000,4648,0,987391,0,0,3,2271,0,3,2,1,1,1
0,0,420.5,0,0,5000,4670,0,1045544,0,1,1,2383,0,1,1,2,3,1
0,0,543.66,2,0,135000,4671,1,1077090,0,0,3,2602,0,5,3,1,1,1
0,0,438.75,1,0,45000,4688,0,332000,0,0,1,718,0,1,1,2,2,1
0,0,109.09,1,0,45000,4692,0,566956,0,0,1,407,0,1,1,2,3,1
0,0,124.16,2,0,115000,4700,0,240731,0,0,2,204,0,2,2,1,1,1
0,0,102.05,2,0,75000,4709,0,52252,0,0,2,749,0,1,2,1,1,1
2,2,425.74,0,0,5000,4721,1,259935,0,0,5,816,0,1,1,2,3,1
0,0,363.73,2,0,175000,4739,0,696318,0,0,2,2972,0,2,2,1,3,1
2,1,239.7,1,0,95000,4754,0,629925,1,0,5,3657,0,2,2,1,1,1
0,0,64.22,0,0,135000,4773,2,590811,0,0,2,3696,0,2,2,1,1,1
0,0,46.41,0,0,95000,4793,0,593571,1,1,2,3498,0,2,2,1,1,1
0,0,136.8,0,0,15000,4797,1,578734,0,0,1,3611,0,0,1,2,2,1
3,0,262.41,1,0,75000,4822,0,425849,1,0,5,1774,0,3,2,1,1,1
0,0,156.36,1,0,75000,4830,0,359698,0,0,1,1005,0,4,1,1,1,1
3,2,699.92,1,0,25000,4846,1,830418,0,0,7,2995,0,2,2,1,1,1
0,0,336.71,3,0,95000,4853,0,93791,0,0,3,1298,0,4,3,1,1,1
0,0,399.54,0,0,35000,4869,0,124723,0,2,2,1888,0,2,2,1,1,1
0,0,180.29,1,0,45000,4871,0,1009411,0,0,1,2519,0,1,1,1,1,1
0,0,313.13,2,0,85000,4883,0,1068242,0,0,2,2406,0,3,2,1,1,1
1,0,669.07,1,1,35000,4897,0,905098,0,0,3,3306,0,2,2,1,1,1
0,0,127.88,0,0,35000,4904,1,650867,1,1,3,3515,0,2,3,1,1,1
0,0,194.75,0,0,65000,4914,0,242316,0,2,2,1426,0,2,2,1,1,1
0,0,336.71,3,0,95000,4918,0,506235,0,0,3,2004,0,3,3,1,1,1
2,0,249.73,2,0,-1,4935,0,572744,0,0,4,3660,0,2,2,1,1,1
0,0,396.29,1,0,45000,4947,1,804651,0,0,2,3313,0,3,2,1,1,1
0,0,156.13,1,0,35000,4950,0,148811,0,0,1,442,0,1,1,1,3,1
0,0,1050.9,2,0,45000,4962,0,1098671,0,0,2,2238,0,3,2,1,1,1
3,0,137.7,1,0,135000,4965,1,528279,0,0,5,198,0,2,2,1,1,1
0,0,302.14,0,0,25000,4977,0,522104,0,1,1,1863,0,1,1,1,1,1
0,0,156.09,0,0,-1,4978,0,1097946,0,2,2,2453,0,2,2,1,1,1
0,0,98.36,1,0,125000,5017,0,386517,0,0,1,553,0,1,1,2,3,1
0,0,70.57,1,0,-1,5023,0,611023,0,0,2,3468,1,2,2,1,1,1
0,0,71.05,0,0,-1,5031,1,625141,0,0,1,3607,0,1,1,1,1,1
1,0,250.15,1,2,105000,5036,0,1080808,1,0,5,2411,0,3,4,1,1,1
0,0,92.59,1,0,45000,5073,0,609540,0,1,2,3692,0,2,2,1,1,1
0,0,351.12,1,0,-1,5079,1,206139,0,0,2,1073,0,4,2,1,1,1
1,0,171.91,2,2,175000,5098,0,418573,0,0,5,128,0,3,4,1,1,1
0,0,1194.29,0,0,15000,5102,1,371710,0,0,1,1497,0,0,1,2,3,1
0,0,144.34,1,0,55000,5105,0,615232,0,0,1,3503,0,3,1,1,1,1
0,1,313.01,2,0,65000,5112,0,507296,0,0,3,1953,0,2,2,1,3,1
0,0,229.57,0,0,125000,5118,0,328283,0,2,2,1602,0,3,2,1,1,1
4,0,427.68,1,0,135000,5120,1,96770,0,0,6,2039,0,2,2,1,1,1
0,0,112.35,0,0,95000,5134,0,1056106,0,2,2,2582,0,2,2,1,1,1
2,0,258.58,1,0,95000,5136,1,1090803,0,0,4,2308,0,2,2,1,1,1
0,0,420.5,0,0,5000,5137,0,961744,0,1,1,2661,0,1,1,1,4,1
2,1,840.07,1,1,-1,5138,0,645527,1,0,6,3683,0,3,3,1,1,1
0,2,477.26,1,0,35000,5139,1,576904,0,0,4,3565,0,1,2,2,2,1
0,1,118.5,2,0,85000,5174,0,23721,0,0,3,589,0,2,2,1,1,1
0,0,136.23,0,0,25000,5189,1,147996,0,0,1,571,0,1,1,2,3,1
0,0,253.65,1,0,55000,5194,0,736106,0,1,2,3372,0,2,2,1,1,1
0,0,124.16,2,0,145000,5197,0,562789,0,0,2,228,0,2,2,2,2,1
0,0,265.3,0,0,35000,5221,0,41054,1,0,1,460,0,0,1,1,3,1
2,0,142.51,1,0,115000,5229,1,188013,0,0,4,788,0,2,2,1,1,1
1,1,423.89,1,0,45000,5240,1,1131424,0,0,4,2501,0,3,2,2,1,1
2,0,138.97,1,0,-1,5241,0,533927,1,0,4,311,0,2,2,1,1,1
0,0,399.76,1,0,25000,5245,1,675819,0,0,2,2689,0,2,2,1,1,1
0,0,82.0,1,0,75000,5249,1,572158,0,0,2,3670,0,4,2,1,1,1
0,0,117.49,1,0,85000,5254,0,663280,0,0,1,3533,0,2,1,1,2,1
0,0,348.37,0,0,45000,5265,1,417816,0,0,1,2078,0,1,1,1,1,1
0,1,150.03,0,0,45000,5269,0,665567,2,0,3,3630,0,1,2,2,3,1
0,0,173.61,0,0,25000,5275,1,658754,0,0,1,3649,0,1,1,1,1,1
0,0,120.92,2,0,65000,5277,0,628646,0,0,2,3660,0,4,2,1,1,1
2,0,427.68,1,0,175000,5329,1,114804,0,0,4,1957,0,2,2,1,1,1
0,0,647.37,0,0,25000,5365,0,388157,0,1,1,884,0,0,1,1,3,1
0,0,550.08,0,0,35000,5372,0,452407,0,2,2,1937,0,1,2,1,1,1
0,0,145.95,0,0,55000,5378,0,444607,0,1,1,1768,0,1,1,1,2,1
0,0,383.18,2,0,125000,5387,0,395031,0,0,2,1128,0,2,2,1,1,1
0,0,506.4,1,0,65000,5390,0,518105,0,0,2,1115,1,1,2,1,1,1
0,0,383.18,1,0,135000,5406,0,90873,1,0,2,1916,0,2,2,1,1,1
0,0,278.35,0,0,55000,5408,1,174250,1,0,2,1238,0,2,2,1,1,1
0,1,372.3,1,0,125000,5412,1,247734,0,0,3,1369,0,3,2,1,1,1
1,0,484.85,1,0,-1,5414,1,25486,0,0,3,2052,0,2,2,1,1,1
0,0,250.96,0,0,95000,5419,2,452690,0,0,2,1941,0,3,2,1,1,1
1,0,377.16,1,0,-1,5420,1,282249,0,0,3,1936,0,5,2,1,1,1
0,0,138.2,0,0,-1,5431,0,493813,0,1,1,1533,0,1,1,2,3,1
0,0,207.38,0,0,65000,5443,0,184484,1,1,2,1598,0,2,2,1,1,1
2,0,516.34,1,0,45000,5445,0,335603,1,0,4,1081,0,2,2,1,1,1
0,0,329.64,1,0,-1,5447,0,2902,0,0,1,950,0,2,1,2,3,1
0,0,1056.24,1,0,25000,5456,0,475878,0,0,1,1985,0,1,1,1,6,1
